id,user_id,user_name,vendor_id,vendor_name,category_id,category_name,catalog,qty,desc,unitprice,unit,link,orderdate,receiptdate,comment,location
3,1,rasi,2,VWR,1,Labware,89009-348,1,"BRAND accu-jet® pro Pipet Controllers, BrandTech",346.94,1 each,https://us.vwr.com/store/catalog/product.jsp?catalog_number=89009-348,2015-05-15,2015-05-15,startup item; k99 funds,
4,1,rasi,2,VWR,1,Labware,89133-288,1,Pipettor Starter Kit includes one each of size 0.5,816.46,1 each,https://us.vwr.com/store/catalog/product.jsp?catalog_number=89133-288,2015-05-15,2015-05-15,startup item; k99 funds,
5,1,rasi,2,VWR,1,Labware,89079-948,1,8-Channel Pipettor	20–200 µL,530.17,1 each,https://us.vwr.com/store/catalog/product.jsp?catalog_number=89079-948,2015-05-17,2015-05-17,startup item; k99 funds,
6,1,rasi,2,VWR,1,Labware,89079-944,1,8-Channel Pipettor	1–10 µL,530.17,1 each,https://us.vwr.com/store/catalog/product.jsp?catalog_number=89079-944,2015-05-17,2015-05-17,startup item; k99 funds,
7,1,rasi,3,Bio-Rad,2,Mol Bio Consumables,345-0092,3,"15% Criterion™ TBE-Urea Gel, 18 well, 30 µl",16.00,1 each,http://www.bio-rad.com/en-us/sku/345-0092-15-criterion-tbe-urea-gel-18-well-30-ul,2015-05-22,2015-05-22,oshea lab funds,
9,1,rasi,3,Bio-Rad,2,Mol Bio Consumables,345-0052,3,"10% Criterion™ TBE Gel, 18 well, 30 µl",16.00,1 each,http://www.bio-rad.com/en-us/sku/345-0052-10-criteriontbe-gel-18-well-30-ul,2015-05-22,2015-05-28,oshea lab funds,
10,1,rasi,3,Bio-Rad,2,Mol Bio Consumables,345-0088,1," 10% Criterion™ TBE-Urea Gel, 12+2 well, 45 µl",16.00,1 each,http://www.bio-rad.com/en-us/sku/345-0088-10-criteriontbe-urea-gel-122-well-45-ul,2015-05-22,2015-05-28,oshea lab funds,
11,1,rasi,4,NEB,2,Mol Bio Consumables,E6310S,1,NEBNext® rRNA Depletion Kit (Human/Mouse/Rat),330.00,10 rxns,https://www.neb.com/products/e6310-nebnext-rrna-depletion-kit-human-mouse-rat,2015-05-22,2015-05-28,oshea lab funds,
12,1,rasi,5,Ingex LLC,2,Mol Bio Consumables,TGIRTKit25,1,TGIRT™ Template-Switching RNA-seq Kit ,499.00,25 rxns,http://ingex.com/tgirt-kit/,2015-05-22,2015-05-28,oshea lab funds,
13,1,rasi,6,Zymo Research,2,Mol Bio Consumables,D4004,1,DNA Clean & Concentrator™-5,261.00,200 preps,https://www.zymoresearch.com/dna/dna-clean-up/pcr-dna-clean-up-concentration/dna-clean-concentrator-5,2015-06-09,2015-06-10,startup item; k99 funds,21
14,1,rasi,6,Zymo Research,2,Mol Bio Consumables,D4016,1,ZR Plasmid Miniprep™- Classic,352.00,400 Preps,http://www.zymoresearch.com/dna/plasmid-dna-purification/bacterial-plasmid/zr-plasmid-miniprep-classic,2015-07-16,2015-07-16,startup item; k99 funds,22
15,1,rasi,6,Zymo Research,2,Mol Bio Consumables,D4001-1-100,1,ADB (Agarose Dissolving Buffer),61.00,100 ml,http://www.zymoresearch.com/buffers/adb-agarose-dissolving-buffer-100-ml,2015-07-16,2015-07-16,startup item; k99 funds,
18,1,rasi,7,ebay,3,Equipment,271897958097,1,Hoefer EPS2A200 High Current Power Supply (EPS2A/200),175.00,ea,http://www.ebay.com/itm/Hoefer-EPS2A200-High-Current-Power-Supply-EPS2A-200-/271897958097,2015-06-30,2015-07-16,cheaper on ebay,
19,1,rasi,7,ebay,3,Equipment,331447990462,1,VWR Digital Heatblock Cat# 12621-084 w Timer & Block,249.00,ea,http://www.ebay.com/itm/VWR-Digital-Heatblock-Cat-12621-084-w-Timer-Block-/331447990462,2015-06-30,2015-07-16,cheaper on ebay,
20,1,rasi,7,ebay,3,Equipment,331567121810,1,Bio-Rad PowerPac 200,51.68,ea,http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=331567121810,2015-06-30,2015-07-16,"cheaper on ebay, cost includes shipping",
21,1,rasi,7,ebay,3,Equipment,181583229381,1,PRECISION Molecular Biology Water Bath Model 180 Cat. 66630 Shallow Form,95.85,ea,http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=181583229381,2015-06-30,2015-07-16,"cheaper on ebay, cost includes shipping",
22,1,rasi,7,ebay,3,Equipment,151709233895,1,Thermo Precision 280 digital water bath waterbath variable laboratory lab micro,209.88,ea,http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=151709233895,2015-06-30,2015-07-17,"cheaper on ebay, cost includes shipping",
23,1,rasi,7,ebay,3,Equipment,321615079781,1,300ml Bottle Fritted Glass Funnel Filtration Separator&500ml Pyrex Flask new ,61.68,ea,http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=321615079781,2015-06-30,2015-07-17,"cheaper on ebay, cost includes shipping",
24,1,rasi,7,ebay,1,Labware,330332314261,1,FLINT GLASS / SODA LIME BEADS 3 mm COLUMN PACKING 1 lb,34.25,pound,http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=330332314261,2015-07-15,2015-07-17,"cheaper on ebay, cost includes shipping",
25,1,rasi,8,Addgene,4,Cells/Plasmids,62197,1,pZT-C13-R1,65.00,ea,https://www.addgene.org/62197/,2015-07-06,2015-07-17,,
26,1,rasi,8,Addgene,4,Cells/Plasmids,62196,1,pZT-C13-L1,65.00,ea,https://www.addgene.org/62196/,2015-07-06,2015-07-17,,
27,1,rasi,8,Addgene,4,Cells/Plasmids,66578,1,pC13N-iCAG.copGFP,65.00,ea,https://www.addgene.org/66578/,2015-07-06,2015-07-17,,
28,1,rasi,9,Fisher,5,Chemicals,DF0446075,1,"BD™ Difco™ Dehydrated Culture Media: LB Broth, Miller (Luria-Bertani)",163.45,2kg,http://www.fishersci.com/externalappproductdisplay?productId=3302469&catalogId=&isChemical=false&langId=-1&storeId=10652&isItem=Yes,2015-07-14,2015-07-17,,
29,1,rasi,9,Fisher,5,Chemicals,BP14232,1,Fisher BioReagents Powdered Agar; Poly pail,546.96,2kg,http://www.fishersci.com/itemdetail?catnum=BP14232,2015-07-14,2015-07-16,,
30,1,rasi,9,Fisher,5,Chemicals,AC158920100,1,"Glycerol, 99+%, extra pure, ACROS Organics",209.09,10L,http://www.fishersci.com/itemdetail?catnum=AC158920100,2015-07-14,2015-07-17,,118
31,1,rasi,9,Fisher,1,Labware,1146268C (CS),1,Microflex Evolution One Powder-Free Latex Exam Gloves; Medium,81.00,1000/CS,http://www.fishersci.com/itemdetail?catnum=1146268C,2015-07-14,2015-07-16,"do not order latex anymore, order only nitrile",
32,1,rasi,9,Fisher,1,Labware,FB0875713,1,Fisherbrand Petri Dishes with Clear Lid; Beveled ridge; 100 x 15mm,81.00,500/CS,http://www.fishersci.com/itemdetail?catnum=FB0875713,2015-07-14,2015-07-16,,
33,1,rasi,9,Fisher,1,Labware,130754B,1,"Thermo Scientific Nunc Disposable Loops and Needles; Loop, 1microL; Clear",161.01,Carton of 1000,http://www.fishersci.com/itemdetail?catnum=130754B,2015-07-14,2015-07-16,,
34,1,rasi,9,Fisher,1,Labware,03395464,25,Fisherbrand Cryo/Freezer Boxes; 5 x 5 x 2 in.; No. of cells: 81,6.54,ea,http://www.fishersci.com/itemdetail?catnum=03395464,2015-07-14,2015-07-16,,
35,1,rasi,9,Fisher,1,Labware,02-682-558,1,"cryo tubes, 2ml, screw cap",66.47,pack of 500,http://www.fishersci.com/shop/products/fisherbrand-free-standing-microcentrifuge-tubes-screw-caps-capacity-2-0ml/02682558,2015-07-14,2015-07-22,,
37,1,rasi,9,Fisher,1,Labware,14222250,4,Axygen 8-Strip PCR Tubes; Color: Clear; No caps,40.48,125/PK ,http://www.fishersci.com/itemdetail?catnum=14222250,2015-07-14,2015-07-16,,
38,1,rasi,9,Fisher,1,Labware,14223222,4, Domed 8 strip caps; Axygen,19.51,100Strips/CS,http://www.fishersci.com/itemdetail?catnum=14223222,2015-07-14,2015-08-05,,
39,1,rasi,9,Fisher,2,Mol Bio Consumables,F538L,1,Phusion Green HF Buffer Pack; 6mL; 4x1.5ml,14.40,ea,https://www.lifetechnologies.com/order/catalog/product/F538L,2015-07-15,2015-07-16,,
40,1,rasi,9,Fisher,2,Mol Bio Consumables,FERR0181,1,"dNTP Set; 4 x 0.25mL; 100mM solutions of dATP, dGTP, dCTP and dTTP in separate tubes",121.32,ea,http://www.fishersci.com/itemdetail?catnum=FERR0181,2015-07-15,2015-07-17,,
41,1,rasi,9,Fisher,1,Labware,1495970C,1,Falcon 15mL Conical Centrifuge Tubes,93.57,case of 500,http://www.fishersci.com/itemdetail?catnum=1495970C,2015-07-15,2015-07-17,,
42,1,rasi,9,Fisher,1,Labware,1495949A,1,Falcon 50mL Conical Centrifuge Tubes,97.68,case of 500,http://www.fishersci.com/itemdetail?catnum=1495949A,2015-07-15,2015-07-17,,
58,1,rasi,7,ebay,3,Equipment,131537637048,2,Lab Bunsen Burner with Flame Stabilizer,14.95,ea,http://www.ebay.com/itm/Lab-Bunsen-Burner-Flame-Stabilizer-Liquid-Propane-Bottled-Gas-12-5mm-Tube-/131537637048,2015-07-15,2015-07-20,,
59,1,rasi,7,ebay,1,Labware,200585559647,2,Spark Lighter with extra 5 flints,4.99,ea,http://www.ebay.com/itm/SPARK-LIGHTER-WITH-5-EXTRA-FLINTS-IGNITOR-SPARKER-FOR-LIGHTING-TORCH-STRIKER-/200585559647,2015-07-15,2015-07-22,,
60,1,rasi,10,MAIROS INC DBA KEENEY'S OFFICE SUPPLY IN,6,Lab consumables, LV-00-004-3031,1,"Dymo Compatible Polypropylene Labels 2 up - 1-1/2"" x 1/2""",25.95,1500 Labels Per Roll,http://www.amazon.com/gp/product/B00KQL0F94?psc=1&redirect=true&ref_=od_aui_detailpages00,2015-07-15,2015-07-17,,
61,1,rasi,10,MAIROS INC DBA KEENEY'S OFFICE SUPPLY IN,3,Equipment,1752266,1,DYMO Label Writer 450 Twin Turbo label printer,109.99,ea,http://www.amazon.com/gp/product/B0027J9KH6?psc=1&redirect=true&ref_=od_aui_detailpages00,2015-07-15,2015-07-17,,
62,1,rasi,10,MAIROS INC DBA KEENEY'S OFFICE SUPPLY IN,3,Equipment,1752264,1,DYMO LabelWriter 450 Thermal Label Printer ,69.98,ea,http://www.amazon.com/gp/product/B0027JBLV4?psc=1&redirect=true&ref_=oh_aui_detailpage_o02_s01,2015-07-13,2015-07-17,,
63,1,rasi,10,MAIROS INC DBA KEENEY'S OFFICE SUPPLY IN,3,Equipment,1752267,1,DYMO LabelWriter 450 Duo Thermal Label Printer,136.99,ea,http://www.amazon.com/gp/product/B002M1LG1M?psc=1&redirect=true&ref_=oh_aui_detailpage_o02_s02,2015-07-13,2015-07-17,,
65,1,rasi,9,Fisher,6,Lab consumables,44-103M,1,"Nitrile gloves, size medium",83.00,case of 1000,https://geneseesci.com/shop-online/product-details/?product=44-103M,2015-07-17,2015-07-20,order 19177522 instead of this.,
